,Mean,Median,Std Dev,Max,Min,Avg Price,Avg Profit
Soft Drinks,14.182674900430463,0.0,68.15539129404688,4637.0,0.0,3.212507945447963,-7.463458281369435
Canned Soup,12.957221180204877,2.0,38.72722557760951,1673.0,0.0,0.6236934476575221,17.340024424428556
Cereals,8.070749736008448,6.0,16.374778423659578,1229.0,0.0,1.8074962122422165,8.642772892319448
Beer,3.3568230073357013,1.0,5.651811632023465,124.0,0.0,1.9775506404902545,14.702844018233593
Cheeses,7.218088280687313,5.0,9.895049284238711,295.0,0.0,1.5814642452927257,24.014707891758412
Grooming,0.7262007506573269,0.0,1.6717087716083938,99.0,0.0,0.861281938060735,9.57317945527166
